id,name,shelf_life,available,last_available,serving_unit,serving_size,protein,carbs,fat,fiber,energy,iron_mg,magnesium_mg,calcium_mg,potassium_mg,sodium_mg,vitamin_c_mg
105,lime,21,f,2025-07-07 12:44:02.098525,g,100,0.70,10.54,0.20,2.80,30.00,0.60,18.00,33.00,102.00,2.00,29.10
201,little millet,365,f,2025-07-30 19:49:33.636161,g,100,10.10,65.60,3.90,7.70,346.00,3.50,90.00,17.00,300.00,5.00,0.00
106,makana,365,f,2025-07-07 12:44:02.098526,g,100,9.70,76.90,0.10,14.50,350.00,3.70,56.00,44.00,367.00,1.00,0.00
107,mango,7,f,2025-07-07 12:44:02.098527,g,100,0.82,14.98,0.38,1.60,60.00,0.16,10.00,11.00,168.00,1.00,36.40
108,masoor dhal,1095,f,2025-07-07 12:44:02.098528,g,100,25.00,59.00,1.00,10.00,343.00,7.40,65.00,71.00,677.00,10.00,3.00
109,melon,7,f,2025-07-07 12:44:02.098529,g,100,0.84,8.16,0.19,0.90,34.00,0.17,12.00,9.00,267.00,16.00,36.70
110,milk,7,t,2026-09-06 12:03:54.883301,ml,100,3.15,4.80,3.27,0.00,61.00,0.03,10.00,113.00,132.00,43.00,0.00
111,mint leaves,7,f,2025-07-27 18:50:26.510582,g,100,3.75,14.89,0.94,8.00,70.00,5.08,80.00,243.00,458.00,31.00,31.80
112,moong dal,1095,f,2025-07-07 12:44:02.098532,g,100,24.00,63.00,1.20,16.00,347.00,6.74,189.00,132.00,1246.00,15.00,4.80
234,MSG,1825,t,2026-09-06 12:03:52.631761,g,100,0.00,0.00,0.00,0.00,0.00,0.10,0.00,5.00,0.00,12200.00,0.00
113,mushrooms,7,f,2025-07-07 12:44:02.098533,g,100,3.09,3.26,0.34,1.00,22.00,0.50,9.00,3.00,318.00,5.00,2.10
114,mutton masala,730,f,2025-07-07 12:44:02.098534,g,100,19.22,34.48,26.10,14.10,441.08,8.00,60.00,100.00,700.00,2000.00,3.00
115,naan,7,f,2025-07-07 12:44:02.098535,g,100,8.90,50.10,12.50,1.90,336.00,2.50,25.00,60.00,120.00,350.00,0.00
116,noodles,365,f,2025-07-07 12:44:02.098536,g,100,4.50,25.00,2.10,1.20,138.00,1.00,14.00,10.00,30.00,5.00,0.00
117,nuts,365,f,2025-07-07 12:44:02.098537,g,100,20.00,21.40,54.20,6.70,607.00,3.72,250.00,130.00,590.00,15.00,0.00
118,oats,365,f,2025-07-07 12:44:02.098538,g,100,16.89,66.27,6.92,10.60,379.00,4.72,177.00,54.00,429.00,2.00,0.00
119,olive oil,730,t,2026-09-06 12:04:07.382651,tbsp,1.0,0.00,0.00,13.50,0.00,119.00,0.00,0.00,0.00,0.00,0.00,0.00
120,olives,365,f,2025-07-27 18:50:52.224307,g,100,0.84,6.26,10.97,3.20,116.00,0.49,11.00,88.00,42.00,1566.00,0.90
121,onion,30,t,2026-09-06 12:04:10.181952,g,100,1.10,9.34,0.10,1.70,40.00,0.21,10.00,23.00,146.00,4.00,7.40
122,orange,14,f,2025-07-07 12:44:02.098542,g,100,0.94,11.75,0.12,2.40,47.00,0.10,14.00,40.00,181.00,0.00,53.20
123,paneer,7,t,2026-09-06 12:05:00.782542,g,100,19.00,4.00,23.50,0.00,321.00,0.20,25.00,480.00,100.00,20.00,0.00
124,papaya,7,f,2025-07-07 12:44:02.098544,g,100,0.47,10.82,0.26,1.70,43.00,0.25,21.00,20.00,182.00,8.00,60.90
225,Parmesan cheese,180,t,2026-09-06 12:05:05.131367,g,100,35.75,3.22,25.83,0.00,392.00,0.82,38.00,1184.00,125.00,1529.00,0.00
125,parsley,10,f,2025-07-07 12:44:02.098545,g,100,2.97,6.33,0.79,3.30,36.00,6.20,50.00,138.00,554.00,56.00,133.00
126,pasta,1095,t,2026-09-06 12:05:01.914783,g,100,13.04,74.67,1.51,3.20,371.00,3.30,53.00,23.00,184.00,5.00,0.00
127,peanuts,365,f,2025-07-07 12:44:02.098547,g,100,25.80,16.13,49.24,8.50,567.00,4.58,168.00,92.00,705.00,18.00,0.00
198,pearl millet,365,f,2025-07-30 19:45:15.404905,g,100,11.60,67.50,5.00,11.30,361.00,8.00,125.00,42.00,370.00,17.00,0.00
128,peas,5,f,2025-07-07 12:44:02.098548,g,100,5.42,14.45,0.40,5.70,81.00,1.54,33.00,27.00,244.00,5.00,40.00
129,pepper,7,f,2025-07-07 12:44:02.098549,g,100,0.90,4.60,0.20,1.70,20.00,0.34,10.00,10.00,175.00,3.00,80.40
130,pickle,365,f,2025-07-07 12:44:02.09855,g,100,0.50,2.26,0.20,1.00,12.00,0.26,5.00,21.00,117.00,809.00,1.00
131,pickled courgette,365,f,2025-07-07 12:44:02.098551,g,100,1.00,7.60,0.30,0.80,35.00,0.40,12.00,20.00,150.00,600.00,5.00
132,pineapple,7,f,2025-07-07 12:44:02.098552,g,100,0.54,13.12,0.12,1.40,50.00,0.28,12.00,13.00,109.00,1.00,47.80
133,pineapple mix,730,f,2025-07-07 12:44:02.098553,g,100,0.00,66.70,0.00,0.00,167.00,0.30,5.00,8.00,60.00,5.00,5.00
213,pine nuts,365,f,2025-08-12 16:04:04.335192,g,100,13.69,13.08,68.37,3.70,673.00,5.53,251.00,16.00,597.00,2.00,0.80
134,pistachios,365,t,2026-09-06 12:05:09.829831,g,100,20.16,27.17,45.32,10.30,560.00,3.92,121.00,105.00,1007.00,276.00,0.00
135,plaintain,7,f,2025-07-07 12:44:02.098555,g,100,0.99,31.89,0.13,2.30,122.00,0.60,34.00,3.00,397.00,4.00,18.40
136,pomegranate,30,f,2025-07-07 12:44:02.098556,g,100,1.67,18.70,1.17,4.00,83.00,0.30,16.00,10.00,236.00,3.00,10.20
137,potatoes,60,t,2026-09-06 12:05:12.930947,g,100,1.90,20.13,0.10,1.80,87.00,0.31,22.00,8.00,379.00,4.00,13.00
